location_name,location_type,article_id
Warren County,county,536
Warren County,county,554
Warren County,county,563
Warren County,county,565
Warren County,county,566
Warren County,county,586
Warren County,county,839
Warren County,county,1114
Warren County,county,1340
Warren County,county,1393
Warren County,county,1473
Warren County,county,1501
Warren County,county,2402
Warren County,county,2460
Warren County,county,2540
Warren County,county,2563
Warren County,county,2571
Warren County,county,2572
Warren County,county,2675
Washington County,county,396
Washington County,county,751
Washington County,county,752
Washington County,county,753
Washington County,county,754
Washington County,county,755
Washington County,county,756
Washington County,county,757
Washington County,county,758
Washington County,county,759
Washington County,county,760
Washington County,county,762
Washington County,county,763
Washington County,county,764
Washington County,county,765
Washington County,county,766
Washington County,county,767
Washington County,county,768
Washington County,county,769
Washington County,county,832
Washington County,county,974
Washington County,county,994
Washington County,county,1270
Washington County,county,1645
Washington County,county,1811
Washington County,county,1896
Washington County,county,2757
Wayne County,county,1393
Wheeler County,county,1454
White County,county,1248
Wilkinson County,county,2780
Augusta-Richmond County,municipality,519
Augusta-Richmond County,municipality,1215
Augusta-Richmond County,municipality,1230
Augusta-Richmond County,municipality,1361
Augusta-Richmond County,municipality,1597
Augusta-Richmond County,municipality,1598
Augusta-Richmond County,municipality,1601
Augusta-Richmond County,municipality,2536
Columbus,municipality,513
Columbus,municipality,720
Columbus,municipality,782
Columbus,municipality,839
Columbus,municipality,1114
Columbus,municipality,1542
Columbus,municipality,1705
Macon-Bibb County,municipality,81
Macon-Bibb County,municipality,620
Macon-Bibb County,municipality,1359
Macon-Bibb County,municipality,2119
Macon-Bibb County,municipality,2536
Macon-Bibb County,municipality,2759
Macon-Bibb County,municipality,2786
Savannah,municipality,901
Savannah,municipality,1015
Savannah,municipality,1580
Savannah,municipality,1809
Savannah,municipality,1865
Savannah,municipality,2018
Savannah,municipality,2035
Savannah,municipality,2777
Savannah,municipality,2780
Athens-Clarke County,municipality,190
Athens-Clarke County,municipality,829
Athens-Clarke County,municipality,2076
Athens-Clarke County,municipality,2499
South Fulton,municipality,1264
South Fulton,municipality,1768
South Fulton,municipality,1769
South Fulton,municipality,2586
Sandy Springs,municipality,1627
Roswell,municipality,179
Roswell,municipality,1280
Roswell,municipality,1324
Roswell,municipality,2084
Roswell,municipality,2627
Warner Robins,municipality,1568
Warner Robins,municipality,1812
Warner Robins,municipality,2759
Alpharetta,municipality,1580
Alpharetta,municipality,2774
Albany,municipality,109
Albany,municipality,782
Albany,municipality,1056
Marietta,municipality,201
Marietta,municipality,479
Marietta,municipality,857
Marietta,municipality,1089
Marietta,municipality,1243
Marietta,municipality,1671
Marietta,municipality,1719
Marietta,municipality,2020
Marietta,municipality,2597
Marietta,municipality,2627
Marietta,municipality,2751
Stonecrest,municipality,709
Brookhaven,municipality,1137
Brookhaven,municipality,1138
Brookhaven,municipality,1139
Brookhaven,municipality,1140
Brookhaven,municipality,1141
Brookhaven,municipality,1421
Brookhaven,municipality,2197
Smyrna,municipality,1407
Smyrna,municipality,2627
Valdosta,municipality,276
Valdosta,municipality,784
Dunwoody,municipality,2197
Gainesville,municipality,17
Gainesville,municipality,225
Gainesville,municipality,232
Gainesville,municipality,244
Gainesville,municipality,246
Gainesville,municipality,296
Gainesville,municipality,542
Gainesville,municipality,953
Gainesville,municipality,1049
Gainesville,municipality,1060
Gainesville,municipality,1127
Gainesville,municipality,1191
Gainesville,municipality,1193
Gainesville,municipality,1202
Gainesville,municipality,1220
Gainesville,municipality,1531
Gainesville,municipality,1580
Gainesville,municipality,1714
Gainesville,municipality,1738
Gainesville,municipality,1842
Gainesville,municipality,1895
Gainesville,municipality,2004
Gainesville,municipality,2465
Gainesville,municipality,2534
Gainesville,municipality,2565
Gainesville,municipality,2584
Gainesville,municipality,2602
Gainesville,municipality,2640
Gainesville,municipality,2653
Gainesville,municipality,2775
Newnan,municipality,530
Newnan,municipality,616
Newnan,municipality,901
Newnan,municipality,1160
Newnan,municipality,1897
Newnan,municipality,2047
Newnan,municipality,2499
Newnan,municipality,2586
Newnan,municipality,2752
Milton,municipality,321
Milton,municipality,1350
Peachtree City,municipality,1436
Douglasville,municipality,1493
Douglasville,municipality,2159
Woodstock,municipality,2627
Rome,municipality,480
Rome,municipality,1493
Rome,municipality,2114
Rome,municipality,2125
Rome,municipality,2159
Rome,municipality,2275
Rome,municipality,2383
Rome,municipality,2461
East Point,municipality,1695
Canton,municipality,2627
Kennesaw,municipality,1053
Kennesaw,municipality,1719
Kennesaw,municipality,2364
Kennesaw,municipality,2627
Evans,municipality,41
Evans,municipality,42
Evans,municipality,138
Evans,municipality,148
Evans,municipality,155
Evans,municipality,159
Evans,municipality,210
Evans,municipality,220
Evans,municipality,226
Evans,municipality,228
Evans,municipality,229
Evans,municipality,230
Evans,municipality,239
Evans,municipality,241
Evans,municipality,378
Evans,municipality,493
Evans,municipality,494
Evans,municipality,495
Evans,municipality,737
Evans,municipality,794
Evans,municipality,902
Evans,municipality,911
Evans,municipality,918
Evans,municipality,926
Evans,municipality,954
Evans,municipality,1083
Evans,municipality,1108
Evans,municipality,1155
Evans,municipality,1156
Evans,municipality,1160
Evans,municipality,1165
Evans,municipality,1192
Evans,municipality,1241
Evans,municipality,1274
Evans,municipality,1289
Evans,municipality,1316
Evans,municipality,1318
Evans,municipality,1367
Evans,municipality,1593
Evans,municipality,1750
Evans,municipality,1778
Evans,municipality,1812
Evans,municipality,2030
Evans,municipality,2194
Evans,municipality,2195
Evans,municipality,2199
Evans,municipality,2200
Evans,municipality,2201
Evans,municipality,2202
Evans,municipality,2203
Evans,municipality,2376
Evans,municipality,2535
Evans,municipality,2556
Evans,municipality,2557
Evans,municipality,2769
Tucker,municipality,19
Tucker,municipality,90
Tucker,municipality,140
Tucker,municipality,141
Tucker,municipality,160
Tucker,municipality,389
Tucker,municipality,508
Tucker,municipality,570
Tucker,municipality,688
Tucker,municipality,772
Tucker,municipality,824
Tucker,municipality,872
Tucker,municipality,980
Tucker,municipality,1013
Tucker,municipality,1098
Tucker,municipality,1148
Tucker,municipality,1150
Tucker,municipality,1336
Tucker,municipality,1387
Tucker,municipality,1494
Tucker,municipality,1496
Tucker,municipality,1505
Tucker,municipality,1557
Tucker,municipality,1607
Tucker,municipality,1741
Tucker,municipality,1752
Tucker,municipality,1753
Tucker,municipality,1756
Tucker,municipality,1810
Tucker,municipality,1841
Tucker,municipality,2111
Tucker,municipality,2112
Tucker,municipality,2312
Tucker,municipality,2343
Tucker,municipality,2500
Tucker,municipality,2508
Tucker,municipality,2541
Tucker,municipality,2546
Tucker,municipality,2587
Tucker,municipality,2590
Tucker,municipality,2601
Stockbridge,municipality,844
Stockbridge,municipality,2060
Stockbridge,municipality,2596
Dalton,municipality,123
LaGrange,municipality,123
LaGrange,municipality,192
LaGrange,municipality,276
LaGrange,municipality,1064
LaGrange,municipality,1252
LaGrange,municipality,1483
LaGrange,municipality,1486
LaGrange,municipality,1528
LaGrange,municipality,1603
LaGrange,municipality,1640
LaGrange,municipality,1641
LaGrange,municipality,1646
LaGrange,municipality,1705
LaGrange,municipality,2370
LaGrange,municipality,2561
LaGrange,municipality,2586
LaGrange,municipality,2681
